timestamp_ms,emg_voltage_V,rms_V,baseline_rms_V,state
48088,0.0587518,0.127514,0.0597409,flex
48091,0.0598768,0.127527,0.0597409,flex
48093,0.17063,0.129507,0.0597409,flex
48096,0.264758,0.133618,0.0597409,flex
48099,0.0818775,0.133864,0.0597409,flex
48102,0.251133,0.138239,0.0597409,flex
48105,0.0616269,0.13759,0.0597409,flex
48107,0.0852526,0.137377,0.0597409,flex
48110,0.0772524,0.134592,0.0597409,flex
48113,0.0717522,0.134466,0.0597409,flex
48115,0.0606269,0.121581,0.0597409,flex
48118,0.0577518,0.117608,0.0597409,flex
48121,0.0600018,0.11717,0.0597409,flex
48124,0.0592518,0.117135,0.0597409,flex
48128,0.065002,0.115657,0.0597409,flex
48131,0.0581268,0.115646,0.0597409,flex
48135,0.0631269,0.115663,0.0597409,flex
48138,0.0683771,0.115783,0.0597409,flex
48141,0.214132,0.119378,0.0597409,flex
48143,0.388512,0.1311,0.0597409,flex
48146,0.16688,0.132743,0.0597409,flex
48149,0.064877,0.132797,0.0597409,flex
48152,0.186631,0.134818,0.0597409,flex
48155,0.064127,0.134682,0.0597409,flex
48158,0.0812525,0.134808,0.0597409,flex
48161,0.0595018,0.134768,0.0597409,flex
48165,0.0593768,0.134752,0.0597409,flex
48168,0.0578768,0.134724,0.0597409,flex
48172,0.064377,0.13429,0.0597409,flex
48175,0.064252,0.132474,0.0597409,flex
48178,0.0597518,0.132473,0.0597409,flex
48181,0.126379,0.132786,0.0597409,flex
48184,0.0602518,0.128506,0.0597409,flex
48187,0.122379,0.12939,0.0597409,flex
48193,0.0613769,0.1294,0.0597409,flex
48196,0.0631269,0.128475,0.0597409,flex
48200,0.0592518,0.126977,0.0597409,flex
48205,0.0936279,0.127266,0.0597409,flex
48208,0.137879,0.127983,0.0597409,flex
48211,0.196506,0.130594,0.0597409,flex
48217,0.0955029,0.126855,0.0597409,flex
48220,0.0617519,0.117936,0.0597409,flex
48223,0.0676271,0.117055,0.0597409,flex
48227,0.0638769,0.117058,0.0597409,flex
48230,0.119754,0.11765,0.0597409,flex
48234,0.0606269,0.117615,0.0597409,flex
48237,0.0908778,0.118016,0.0597409,flex
48242,0.0867527,0.118326,0.0597409,flex
48245,0.134879,0.119543,0.0597409,flex
48248,0.0596268,0.11955,0.0597409,flex
48251,0.0618769,0.119582,0.0597409,flex
48257,0.0611269,0.119594,0.0597409,flex
48260,0.065127,0.117496,0.0597409,flex
48263,0.065252,0.111752,0.0597409,flex
48266,0.064002,0.111519,0.0597409,flex
48269,0.198381,0.109372,0.0597409,flex
48275,0.0872527,0.10972,0.0597409,flex
48277,0.0636269,0.109426,0.0597409,flex
48281,0.0597518,0.109207,0.0597409,flex
48284,0.0602518,0.109068,0.0597409,flex
48287,0.0598768,0.10906,0.0597409,flex
48290,0.0621269,0.109108,0.0597409,flex
48295,0.0855026,0.109447,0.0597409,flex
48298,0.064002,0.109501,0.0597409,flex
48302,0.0608769,0.109453,0.0597409,flex
48305,0.0630019,0.109507,0.0597409,flex
48308,0.0611269,0.109484,0.0597409,flex
48311,0.146754,0.111014,0.0597409,flex
48317,0.0596268,0.107136,0.0597409,flex
48320,0.0622519,0.0923949,0.0597409,flex
48323,0.15963,0.0921383,0.0597409,flex
48326,0.117629,0.0931774,0.0597409,flex
48329,0.167255,0.0924385,0.0597409,flex
48333,0.0592518,0.0923735,0.0597409,flex
48336,0.0605018,0.0920545,0.0597409,flex
48338,0.0608769,0.0920724,0.0597409,flex
48341,0.120754,0.0932655,0.0597409,flex
48344,0.0801275,0.0935942,0.0597409,flex
48348,0.0750023,0.0937523,0.0597409,flex
48351,0.0628769,0.0937336,0.0597409,flex
48355,0.0682521,0.0938496,0.0597409,flex
48359,0.0607519,0.0925318,0.0597409,flex
48362,0.17738,0.0954924,0.0597409,flex
48366,0.0882527,0.0947367,0.0597409,flex
48371,0.0685021,0.0948343,0.0597409,flex
48374,0.0563767,0.0947492,0.0597409,flex
48378,0.0615019,0.0947779,0.0597409,flex
48381,0.064627,0.0942924,0.0597409,flex
48384,0.063752,0.0926938,0.0597409,flex
48387,0.064627,0.0889009,0.0597409,rest
48390,0.0911278,0.088809,0.0597409,rest
48392,0.0600018,0.088785,0.0597409,rest
48395,0.16538,0.0913144,0.0597409,flex
48398,0.0630019,0.0913023,0.0597409,flex
48401,0.0567517,0.0900761,0.0597409,flex
48403,0.215132,0.094688,0.0597409,flex
48406,0.098753,0.0948456,0.0597409,flex
48409,0.17563,0.0972733,0.0597409,flex
48411,0.066752,0.0958507,0.0597409,flex
48414,0.097878,0.0964772,0.0597409,flex
48417,0.454639,0.115608,0.0597409,flex
48420,0.0632519,0.115631,0.0597409,flex
48422,0.0606269,0.115582,0.0597409,flex
48425,0.0586268,0.115511,0.0597409,flex
